Last MAJ : 05/06/2018 11:41:31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Risque Qualif ELEC;Risque Qualif CPST;Risque Qualif ASSEMBLY;Risque Qualif RAD;Maturité technologique (détection fin de vie);Monosource;(Techno) d'origine US ?;Besoin spécifique ETCA               ;OQD;OTD;Risque de tri (y compris RadLat) ;Risque Société (taille, santé financière, stratégie);Tenue en radiation garantie spatial;Criticité Globale;Criticité Opérationnelle;Article dépassant le seuil;;SEUIL de Criticité ;Criticité Handling & Storage;Remède : plan d'actions;Commentaire ICS pour PLR;JUSTIFICATION SI MAINTIEN DU CHOIX;;;;;;;;;;;PACL;;;;;;;;;;;;;;;;
3E_Part;Version 3E;Description;Family Code;Group Code;Grade;Package;industrial price (site);Maturity;PLC status (site);PLC Status Type;PLC Comments;PPL;Export IS;NS Category;Criticality;Source;Version;Statut Source;Manufacturer ;Manufacturer Location Country;Cage code;Generic Procurement Specficiation(issue/revision);detailled Procurement Specification (issue/revision);ESD (Code  + Libelle);MSL (Code + Libelle);Qualite;LEAD TIME;;Space Qualified Status;TID RADLAT required;TNID RADLAT required;Nbr 3E;"1/3/5
10501012;11;C 1210-I 470PF 5% 200V SN;01;02;Grade 1;1210-2;0;valid for BOM production;LIM;ASSY;Approved locally by QA M&P pending formal ESA approval;PPL;NCL;;NA;10589585;02;ACTIVE;EXXELIA TECHNOLOGIES;FRA;;ESCC_3009 2;764.10.390;NON SENSITIVE - ?15999V;1 - Unlimited & <= 30°C/85% RH (J-STD-20 classified);EQ ESCC;145;1058958500;;;;0;1;1;1;1;1;3;1;1;1;1;1;1;;3;3;0;;;;;(EVW) : QUA ASSY feu vert interne;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;
10501089;8;PM948S 8U2 10% 100V;01;05;Grade 1;PM948S3-2;97,56;valid for BOM production;ACC;;;NPPL;NCL;;NA;10501092;09;ACTIVE;EXXELIA TECHNOLOGIES;FRA;;ESCC-3006;ESCC-3006/026;NON SENSITIVE - ?15999V;2a - 4 weeks & <= 30°C/60% RH (J-STD-20 classified);SCC C;175;1050109208;;;;1;1;1;1;1;1;5;1;1;1;5;1;1;;25;25;25;;;;;PM948S est ESA QPL depuis mars 2016;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
10501093;5;IC S&H AMP HS-2420 DIL14;08;51;Grade 1;DIL-14;287,01;valid for BOM production;ACC;;;PPL;ECCN L;9A515.e.1;3;10501096;03;ACTIVE;INTERSIL;USA;34371;MIL-PRF-38535;SMD-5962-95669;CLASS 1B - 500 - 999V;NA - Not applicable;CLASS V;115;1050109603;;;;1;1;1;1;1;5;3;2;1;1;1;1;1;;30;30;30;;;1;Obsolescent;[S.VDM ] OK - Dispo chez Intersil en version radhard, pas de RVT nécessaire. Meme numéro d'article.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
10501216;8;XO 24MHz FP-20 Au 5V;40;03;Grade 1;FP-20PDV;1644,78;valid for BOM production;ACC;;;PPL;ECCN L;9A515.e.1;2;10501219;10;ACTIVE;Q-TECH CORP;USA;;401-0298-001 H;747313/522 00 S;CLASS 2 - 2000 - 3999V;NA - Not applicable;EQ LEVEL S;265;1050121908;;;;1;1;1;1;1;1;3;2;3;1;2;1;1;;36;36;36;;remplacement par Rakon en cours (fin  2014);1;AI19 Remplacement QTECH par RAKON;NP: Ok pour programme autorissant composant ITAR, sinon alternative Rakon RK115voir 3E 10538240 (evaluation a éffectué);;;;;;;;;;;;;;1;;;;;;;;;;;1;;;
10501531;7;35CGQ100 1N7062 TO254AA;04;05;Grade 1;TO254AA-3;300,07;valid for BOM production;ACC;;;NPPL;EAR99;;4;10501534;03;ACTIVE;INTERNATIONAL RECTIFIER;USA;69210;MIL-PRF-19500;MIL-PRF-19500/762;CLASS 3B - 8000 - 15999V;NA - Not applicable;JANS;145;1050153403;;;;1;1;1;1;1;1;3;2;1;1;2;1;1;;12;12;12;;alternative Sensitron en vue 2015;1;AI5 DIODE SCHTKY SENSITRON OU STM;NP: Ok pour utilisation, Alternative ST (STPS40150HR) en cours de qualifcation en boitier  SMD0.5 et TO254.;;;;;1;;;;;;;;;;1;;;1;;;1;;;;1;1;;
10501687;7;30CLJQ150 1N7058 SMD05 Sn;04;05;Grade 1;SMD05-3;332,77;valid for BOM production;ACC;;;PPL;EAR99;;4;10501690;01;ACTIVE;INTERNATIONAL RECTIFIER;USA;69210;MIL-PRF-19500;MIL-PRF-19500/731;CLASS 1C - 1000 - 1999V;NA - Not applicable;JANS;165;1050169001;;;;1;1;1;1;1;1;3;2;1;1;2;1;1;;12;12;12;;;1;;NP: Ok pour utilisation, Alternative ST (STPS40150HR) en cours de qualifcation en boitier  SMD0.5 et TO254.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10503034;5;IC OP AMP RH1014 FP14 SN;08;50;Grade 1;FP-14;331,63;valid for BOM production;ACC;;;NPPL;EAR99;;3;10503037;06;INACTIVE;LINEAR TECHNOLOGY;USA;;MIL-PRF-38535;LTC_05-08-5014 V;CLASS 1C - 1000 - 1999V;NA - Not applicable;EQ CLASS S;165;1050303706;;;;1;1;1;1;1;1;1;2;1;1;1;1;1;;2;2;0;;est repassé EAR99;1;"""NA""";[S.VDM ] OK;;;;;;;;;;;;1;1;1;;;1;;;;;;;;1;1;;
10503034;5;IC OP AMP RH1014 FP14 SN;08;50;Grade 1;FP-14;331,63;valid for BOM production;ACC;;;NPPL;EAR99;;3;10583952;01;ACTIVE;LINEAR TECHNOLOGY;USA;;MIL-PRF-38535;SMD-5962-89677;CLASS 1C - 1000 - 1999V;NA - Not applicable;CLASS V;165;1058395201;;;;0;1;1;1;1;1;1;2;1;1;1;1;1;;2;2;0;;est repassé EAR99;1;"""NA""";[S.VDM ] OK;;;;;;;;;;;;1;1;1;;;1;;;;;;;;1;1;;
10503051;3;IC VOLT COMP RH1011 FP10;08;53;Grade 1;FP-10;363,7;valid for BOM production;ACC;;;NPPL;EAR99;;3;10503054;03;ACTIVE;LINEAR TECHNOLOGY;USA;;MIL-PRF-38535;LTC_05-08-5012 M;CLASS 1B - 500 - 999V;NA - Not applicable;EQ CLASS S;195;1050305403;;;;1;1;1;1;1;1;3;2;1;1;2;1;1;;12;12;12;;"déjà ITAR ; remplacement par PM/LM111";1;A compléter;[S.VDM ] OK;;;;;;;;;;;;;;1;;;1;;;;;;;;1;1;;
10503122;4;IC OP AMP RH1498 FP10 SN;08;50;Grade 1;FP-10;384,93;valid for BOM production;ACC;;;NPPL;EAR99;;3;10503125;04;INACTIVE;LINEAR TECHNOLOGY;USA;;MIL-PRF-38535;LTC_05-08-5201 F;CLASS 2 - 2000 - 3999V;NA - Not applicable;EQ CLASS S;165;1050312504;;;;1;1;1;1;1;1;5;2;1;1;1;1;1;;10;10;0;;déjà ITAR;1;A compléter;[S.VDM ] OK;;;;;;;;;;;;;;1;;;1;;;;;;;;1;1;;
